distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
2131955665990560,563724005365082,6358667321630610,1.0,0.0,0.0,1.0,1.0
3.8030573513256E+016,6724108052618400,1.87294961430446E+016,1.0,0.0,0.0,1.0,1.0
1.56949855410599E+016,1.75989181519723E+016,0.8556228290724207,1.0,0.0,0.0,1.0,1.0
2.67114620237198E+016,1.55200812594913E+016,4603600688206180,1.0,1.0,0.0,1.0,1.0
1.06644737160167E+016,1.56576908620166E+016,4886520843107550,1.0,0.0,0.0,1.0,1.0
2530145018135440,3.68978109049401E+016,8297406866219770,1.0,0.0,0.0,1.0,1.0
2112611616077090,0.27198739643980063,6081770719263620,1.0,0.0,0.0,1.0,1.0
1.51370437242811E+016,5340080994904880,1171566647935160,1.0,0.0,0.0,1.0,1.0
9.59840134057397E+015,0.4545563461632137,6084828700634960,1.0,0.0,0.0,1.0,1.0
2.25455875751674E+016,0.35393925466184956,4.0954422060767E+016,1.0,0.0,0.0,1.0,1.0
3351893199927120,1.11416766622348E+016,0.09824280618820228,1.0,0.0,0.0,1.0,1.0
4332644363556800,0.20525461614103416,4250634052124060,1.0,0.0,0.0,1.0,1.0
1.11588068751769E+016,0.17023692798997558,4127313378541150,0.0,0.0,0.0,0.0,1.0
5.7938900041198E+016,2.75851101279926E+016,5085685575610160,1.0,0.0,0.0,1.0,1.0
2264196198333610,0.01562515510307754,4322207383685130,1.0,0.0,0.0,1.0,1.0
8815891899379170,0.6552597799376982,5433499527157330,1.0,0.0,0.0,1.0,1.0
1.379552775555E+016,0.0564859884060373,4871942856500870,0.0,0.0,0.0,0.0,1.0
2.01414762918853E+016,1.16562476544576E+016,1.17299946396578E+016,1.0,0.0,0.0,1.0,1.0
1.11285206109369E+016,0.3790316875990881,1.85847217332515E+016,1.0,0.0,0.0,1.0,1.0
3441390100453560,2529759752778160,1.46977131198932E+016,1.0,0.0,0.0,1.0,1.0
2480640491587090,0.1715963308260967,142436925024607,1.0,0.0,0.0,1.0,1.0
7.33548443987133E+016,0.34486759318694715,1.55116195855514E+016,1.0,0.0,0.0,1.0,1.0
1.53692098008364E+016,8049938810132390,1.33348436654059E+016,0.0,0.0,0.0,0.0,1.0
7888322856357220,0.5130490425957464,5337625815459590,1.0,0.0,0.0,1.0,1.0
6015229191365600,0.028723206008735267,0.8597786295284634,1.0,0.0,0.0,1.0,1.0
3709366042581370,1.02311507523747E+016,5776353953919110,1.0,0.0,0.0,1.0,1.0
5764412015004830,0.624542382351953,856593477975357,1.0,1.0,0.0,1.0,1.0
7230067263034040,4029308624131380,5746112420698080,1.0,1.0,0.0,1.0,1.0
1.12087155863114E+016,0.2980125709938463,2339287241235980,1.0,0.0,0.0,1.0,1.0
1.70247058049913E+016,0.41911065920202034,0.153334337580427,1.0,0.0,0.0,1.0,1.0
2.43374877058429E+016,1.3986182664381E+016,6230792396550810,1.0,1.0,0.0,1.0,1.0
1.2750894983835E+016,0.8576140872936847,1770614527869420,1.0,1.0,0.0,1.0,1.0
1.31135959136223E+016,0.3889088942634553,4.40916022619321E+016,1.0,0.0,0.0,1.0,1.0
1.05943727710599E+016,0.300184221962306,4766703962782410,1.0,0.0,0.0,1.0,1.0
3860952542627010,5367957485452140,1.61573542306971E+016,1.0,0.0,0.0,1.0,1.0
9.65910611962006E+015,0.023604008575064957,0.2579081017144914,1.0,0.0,0.0,1.0,1.0
1.08867855645681E+016,0.16488394351350574,0.2607818280794786,1.0,0.0,0.0,1.0,1.0
2493433495597390,0.7794254269297773,4007341140404430,1.0,0.0,0.0,1.0,1.0
8018449955189280,3.64007619320325E+016,1.36551464083787E+016,1.0,1.0,0.0,1.0,1.0
2551736574091710,0.018884654389403094,1.05591134407665E+016,1.0,0.0,0.0,1.0,1.0
1.96137414616847E+016,4394683062780750,4937606527090610,1.0,0.0,0.0,1.0,1.0
2.0361497990456E+016,4801743074014260,0.4818275767625839,1.0,0.0,0.0,1.0,1.0
1.81863314246121E+016,0.48476058390405347,1.95570719724656E+016,1.0,0.0,0.0,1.0,1.0
9.53612631634176E+015,0.43624806173215935,4034980883431670,1.0,0.0,0.0,1.0,1.0
1.34453767187756E+016,0.5828560278095959,4868268160285660,1.0,1.0,0.0,1.0,1.0
1167231034681130,0.22390373963447516,7443476095886650,1.0,1.0,0.0,1.0,1.0
1.08987164914201E+016,1483684761594400,6957806091768240,1.0,0.0,0.0,1.0,1.0
5371514655092040,1639335482331620,1.89946236985248E+016,1.0,0.0,0.0,1.0,1.0
2518027797998740,1.79090733929775E+016,4595736199636930,1.0,0.0,0.0,1.0,1.0
1.33913761617207E+016,0.4066453559110527,5711177073871600,1.0,0.0,0.0,1.0,1.0
